total_bill,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID,tip
16.99,Female,No,Sun,Dinner,2,8.49,Christy Cunningham,3.56033E+15,Sun2959,1.01
10.34,Male,No,Sun,Dinner,3,3.45,Douglas Tucker,4.47807E+15,Sun4608,1.66
21.01,Male,No,Sun,Dinner,3,7,Travis Walters,6.01181E+15,Sun4458,3.5
23.68,Male,No,Sun,Dinner,2,11.84,Nathaniel Harris,4.67614E+15,Sun5260,3.31
24.59,Female,No,Sun,Dinner,4,6.15,Tonya Carter,4.83273E+15,Sun2251,3.61
25.29,Male,No,Sun,Dinner,4,6.32,Erik Smith,2.1314E+14,Sun9679,4.71
8.77,Male,No,Sun,Dinner,2,4.38,Kristopher Johnson,2.22373E+15,Sun5985,2
26.88,Male,No,Sun,Dinner,4,6.72,Robert Buck,3.51479E+15,Sun8157,3.12
15.04,Male,No,Sun,Dinner,2,7.52,Joseph Mcdonald,3.52287E+15,Sun6820,1.96
14.78,Male,No,Sun,Dinner,2,7.39,Jerome Abbott,3.53212E+15,Sun3775,3.23
10.27,Male,No,Sun,Dinner,2,5.14,William Riley,5.66288E+11,Sun2546,1.71
35.26,Female,No,Sun,Dinner,4,8.82,Diane Macias,4.57782E+15,Sun6686,5
15.42,Male,No,Sun,Dinner,2,7.71,Chad Harrington,5.77041E+11,Sun1300,1.57
18.43,Male,No,Sun,Dinner,4,4.61,Joshua Jones,6.01116E+15,Sun2971,3
14.83,Female,No,Sun,Dinner,2,7.42,Vanessa Jones,3.00167E+13,Sun3848,3.02
21.58,Male,No,Sun,Dinner,2,10.79,Matthew Reilly,1.80073E+14,Sun1878,3.92
10.33,Female,No,Sun,Dinner,3,3.44,Elizabeth Foster,4.24003E+15,Sun9715,1.67
16.29,Male,No,Sun,Dinner,3,5.43,John Pittman,6.52134E+15,Sun2998,3.71
16.97,Female,No,Sun,Dinner,3,5.66,Laura Martinez,3.04223E+13,Sun2789,3.5
20.65,Male,No,Sat,Dinner,3,6.88,Timothy Oneal,6.56807E+15,Sat9213,3.35
17.92,Male,No,Sat,Dinner,2,8.96,Thomas Rice,4.4033E+15,Sat1709,4.08
20.29,Female,No,Sat,Dinner,2,10.14,Natalie Gardner,5.44813E+15,Sat9618,2.75
15.77,Female,No,Sat,Dinner,2,7.88,Ashley Shelton,3.52412E+15,Sat9786,2.23
39.42,Male,No,Sat,Dinner,4,9.86,Lance Peterson,3.54258E+15,Sat239,7.58
19.82,Male,No,Sat,Dinner,2,9.91,Christopher Ross,3.67391E+13,Sat6236,3.18
17.81,Male,No,Sat,Dinner,4,4.45,Robert Perkins,3.05029E+13,Sat907,2.34
13.37,Male,No,Sat,Dinner,2,6.68,Kyle Avery,6.53134E+15,Sat6651,2
12.69,Male,No,Sat,Dinner,2,6.34,Patrick Barber,3.01556E+13,Sat394,2
21.7,Male,No,Sat,Dinner,2,10.85,David Collier,5.52969E+15,Sat3697,4.3
19.65,Female,No,Sat,Dinner,2,9.82,Melinda Murphy,5.48927E+15,Sat2467,3
9.55,Male,No,Sat,Dinner,2,4.78,Grant Hall,3.01965E+13,Sat4099,1.45
18.35,Male,No,Sat,Dinner,4,4.59,Danny Santiago,6.30416E+11,Sat4947,2.5
15.06,Female,No,Sat,Dinner,2,7.53,Amanda Wilson,2.13186E+14,Sat1327,3
20.69,Female,No,Sat,Dinner,4,5.17,Amber Francis,3.77743E+14,Sat6649,2.45
17.78,Male,No,Sat,Dinner,2,8.89,Jacob Castillo,3.55149E+15,Sat8124,3.27
24.06,Male,No,Sat,Dinner,3,8.02,Joseph Mullins,5.51977E+15,Sat632,3.6
16.31,Male,No,Sat,Dinner,3,5.44,William Ford,3.52769E+15,Sat9139,2
16.93,Female,No,Sat,Dinner,3,5.64,Erin Lewis,5.1617E+15,Sat6406,3.07
18.69,Male,No,Sat,Dinner,3,6.23,Brandon Bradley,4.4276E+15,Sat4056,2.31
31.27,Male,No,Sat,Dinner,3,10.42,Mr. Brandon Berry,6.01153E+15,Sat6373,5
16.04,Male,No,Sat,Dinner,3,5.35,Adam Edwards,3.54445E+15,Sat8549,2.24
17.46,Male,No,Sun,Dinner,2,8.73,David Boyer,3.53668E+15,Sun9460,2.54
13.94,Male,No,Sun,Dinner,2,6.97,Bryan Brown,3.62312E+13,Sun1699,3.06
9.68,Male,No,Sun,Dinner,2,4.84,Christopher Spears,4.38767E+15,Sun3279,1.32
30.4,Male,No,Sun,Dinner,4,7.6,Todd Cooper,5.03847E+11,Sun2274,5.6
18.29,Male,No,Sun,Dinner,2,9.14,Richard Fitzgerald,3.75157E+14,Sun8643,3
22.23,Male,No,Sun,Dinner,2,11.12,Joshua Gilmore,4.29207E+12,Sun7097,5
32.4,Male,No,Sun,Dinner,4,8.1,James Barnes,3.552E+15,Sun9677,6
28.55,Male,No,Sun,Dinner,3,9.52,Austin Fisher,6.01148E+15,Sun4142,2.05
18.04,Male,No,Sun,Dinner,2,9.02,William Roth,6.57392E+15,Sun9774,3
12.54,Male,No,Sun,Dinner,2,6.27,Jeremiah Neal,2.2254E+15,Sun2021,2.5
10.29,Female,No,Sun,Dinner,2,5.14,Jessica Ibarra,4.99976E+12,Sun4474,2.6
34.81,Female,No,Sun,Dinner,4,8.7,Emily Daniel,4.29128E+15,Sun6165,5.2
